,cbsa,cbsa_short,report_date,admissions_covid_confirmed_last_7_days,admits_100k,state,lat,lon,total_population_2019,hosp_timerange,timeslider
0,"New York-Newark-Jersey City, NY-NJ-PA",New York-Newark-Jersey City,2021-09-07,1674,8.71140791651536,NY,40.77493,-73.873758,19216182,August 30-September 5,33
1,"Miami-Fort Lauderdale-Pompano Beach, FL",Miami-Fort Lauderdale-Pompano Beach,2021-09-07,2346,38.04434550103722,FL,26.1018281,-80.4787552,6166488,August 30-September 5,33
2,"Houston-The Woodlands-Sugar Land, TX",Houston-The Woodlands-Sugar Land,2021-09-07,2501,35.394142290678886,TX,29.7495926,-95.3536422,7066141,August 30-September 5,33
3,"Dallas-Fort Worth-Arlington, TX",Dallas-Fort Worth-Arlington,2021-09-07,3301,43.588283638376495,TX,32.8491708,-96.9704894,7573136,August 30-September 5,33
4,"Tampa-St. Petersburg-Clearwater, FL",Tampa-St. Petersburg-Clearwater,2021-09-07,2210,69.17423801133769,FL,28.1259071,-82.4652858,3194831,August 30-September 5,33
5,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles-Long Beach-Anaheim,2021-09-07,1416,10.715259460246047,CA,34.1087033,-118.1827533,13214799,August 30-September 5,33
6,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta-Sandy Springs-Alpharetta,2021-09-07,2633,43.734897092601045,GA,33.693728,-84.3999113,6020364,August 30-September 5,33
7,"Phoenix-Mesa-Chandler, AZ",Phoenix-Mesa-Chandler,2021-09-07,1028,20.775218801653853,AZ,33.1857653,-112.0678624,4948203,August 30-September 5,33
8,"Orlando-Kissimmee-Sanford, FL",Orlando-Kissimmee-Sanford,2021-09-07,1019,39.06988371437653,FL,28.4343962,-81.3560839,2608147,August 30-September 5,33
9,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago-Naperville-Elgin,2021-09-07,1116,11.798862382446169,IL,41.8235214,-87.8282967,9458539,August 30-September 5,33
10,"Sacramento-Roseville-Folsom, CA",Sacramento-Roseville-Folsom,2021-09-07,571,24.156735329331184,CA,38.7896779,-121.0057504,2363730,August 30-September 5,33
11,"Charlotte-Concord-Gastonia, NC-SC",Charlotte-Concord-Gastonia,2021-09-07,630,23.89184503066689,NC,35.1663423,-80.7972848,2636883,August 30-September 5,33
12,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Philadelphia-Camden-Wilmington,2021-09-07,644,10.553166162878615,PA,39.8949576,-75.3119824,6102434,August 30-September 5,33
13,"San Antonio-New Braunfels, TX",San Antonio-New Braunfels,2021-09-07,1156,45.31627308934676,TX,29.4330599,-98.6069734,2550960,August 30-September 5,33
14,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Washington-Arlington-Alexandria,2021-09-07,523,8.327379707974876,DC,38.7982054,-77.4868816,6280487,August 30-September 5,33
15,"Cincinnati, OH-KY-IN",Cincinnati,2021-09-07,389,17.51299292997324,OH,39.0998213,-84.4804072,2221208,August 30-September 5,33
16,"San Francisco-Oakland-Berkeley, CA",San Francisco-Oakland-Berkeley,2021-09-07,414,8.749307610650739,CA,37.7737185,-122.2744317,4731803,August 30-September 5,33
17,"Jacksonville, FL",Jacksonville,2021-09-07,706,45.270513762620915,FL,30.2365943,-81.7544462,1559514,August 30-September 5,33
18,"Cape Coral-Fort Myers, FL",Cape Coral-Fort Myers,2021-09-07,481,62.420757432417524,FL,26.5590348,-81.8919943,770577,August 30-September 5,33
19,"Birmingham-Hoover, AL",Birmingham-Hoover,2021-09-07,836,76.66665138224653,AL,33.4025986,-86.7295151,1090435,August 30-September 5,33
20,"Greenville-Anderson, SC",Greenville-Anderson,2021-09-07,439,47.69266369501899,SC,34.6837085,-82.4134227,920477,August 30-September 5,33
21,"San Diego-Chula Vista-Carlsbad, CA",San Diego-Chula Vista-Carlsbad,2021-09-07,375,11.233161490925104,CA,33.0236041,-116.7761174,3338330,August 30-September 5,33
22,"Riverside-San Bernardino-Ontario, CA",Riverside-San Bernardino-Ontario,2021-09-07,854,18.363099544986476,CA,34.5384763,-116.1345414,4650631,August 30-September 5,33
23,"Charleston-North Charleston, SC",Charleston-North Charleston,2021-09-07,379,47.24967024966277,SC,33.0180695,-80.0075006,802122,August 30-September 5,33
24,"Austin-Round Rock-Georgetown, TX",Austin-Round Rock-Georgetown,2021-09-07,506,22.720302745789,TX,30.2395128,-97.6912697,2227083,August 30-September 5,33
25,"Columbus, OH",Columbus,2021-09-07,399,18.80061500157143,OH,39.9685617,-82.8359105,2122271,August 30-September 5,33
26,"Nashville-Davidson--Murfreesboro--Franklin, TN",Nashville-Davidson--Murfreesboro--Franklin,2021-09-07,805,41.61675671567794,TN,36.1181822,-86.6441196,1934317,August 30-September 5,33
27,"Oklahoma City, OK",Oklahoma City,2021-09-07,414,29.38358351964229,OK,35.4309676,-97.5069659,1408950,August 30-September 5,33
28,"Lakeland-Winter Haven, FL",Lakeland-Winter Haven,2021-09-07,498,68.71078966357928,FL,27.9536488,-81.6935337,724777,August 30-September 5,33
29,"Denver-Aurora-Lakewood, CO",Denver-Aurora-Lakewood,2021-09-07,425,14.32307946882607,CO,39.434789,-104.9010728,2967239,August 30-September 5,33
30,"St. Louis, MO-IL",St. Louis,2021-09-07,494,17.62254087073902,MO,38.7402108,-90.3458253,2803228,August 30-September 5,33
31,"North Port-Sarasota-Bradenton, FL",North Port-Sarasota-Bradenton,2021-09-07,487,58.184338018745635,FL,27.3642461,-82.3193579,836995,August 30-September 5,33
32,"Seattle-Tacoma-Bellevue, WA",Seattle-Tacoma-Bellevue,2021-09-07,378,9.497857328614556,WA,47.4905993,-121.833996,3979845,August 30-September 5,33
33,"Minneapolis-St. Paul-Bloomington, MN-WI",Minneapolis-St. Paul-Bloomington,2021-09-07,211,5.7966348199732805,MN,45.096664,-93.275361,3640043,August 30-September 5,33
34,"Columbia, SC",Columbia,2021-09-07,332,39.597678049408835,SC,34.0775845,-81.0378453,838433,August 30-September 5,33
35,"Virginia Beach-Norfolk-Newport News, VA-NC",Virginia Beach-Norfolk-Newport News,2021-09-07,318,17.977263849135706,VA,36.8044077,-76.4495261,1768901,August 30-September 5,33
36,"Kansas City, MO-KS",Kansas City,2021-09-07,524,24.281854874211653,MO,38.9318494,-94.4438241,2157990,August 30-September 5,33
37,"Tulsa, OK",Tulsa,2021-09-07,574,57.47897611317951,OK,36.2544287,-96.1773294,998626,August 30-September 5,33
38,"Indianapolis-Carmel-Anderson, IN",Indianapolis-Carmel-Anderson,2021-09-07,574,27.668824417207308,IN,39.74867,-86.2123823,2074537,August 30-September 5,33
39,"Memphis, TN-MS-AR",Memphis,2021-09-07,433,32.1683153237819,TN,35.0244194,-89.8719712,1346045,August 30-September 5,33
40,"Cleveland-Elyria, OH",Cleveland-Elyria,2021-09-07,401,19.575786363243605,OH,41.7603919,-81.7242168,2048449,August 30-September 5,33
41,"Pittsburgh, PA",Pittsburgh,2021-09-07,346,14.929237141870901,PA,40.4395249,-79.8360972,2317600,August 30-September 5,33
42,"Pensacola-Ferry Pass-Brent, FL",Pensacola-Ferry Pass-Brent,2021-09-07,311,61.8746630218312,FL,30.6554013,-87.1618275,502629,August 30-September 5,33
